gene,model_label,alpha,auc,stability_kind,source_block
TP53,ProtBERT,1.0,0.5321739130434783,best_alpha_from_multifamily_tp53,12b
TP53,ProtBERT-BFD,1.0,0.5120496894409938,best_alpha_from_multifamily_tp53,12b
TP53,ESM2-35M,1.0,0.4879503105590062,best_alpha_from_multifamily_tp53,12b
TP53,ProtT5,1.0,0.4239130434782608,best_alpha_from_multifamily_tp53,12b
CREBBP,ESM-1v,0.55,0.0,case_level_alpha_positive_fraction,10b
CREBBP,ESM2-150M,0.55,0.1904761904761904,case_level_alpha_positive_fraction,10b
CREBBP,ESM2-650M,0.55,0.4761904761904761,case_level_alpha_positive_fraction,10b
CREBBP,ProtT5,0.55,0.5714285714285714,case_level_alpha_positive_fraction,10b
CREBBP,ESM-1v,0.55,0.0,case_level_alpha_positive_fraction,10b
CREBBP,ESM2-150M,0.55,0.1428571428571428,case_level_alpha_positive_fraction,10b
CREBBP,ESM2-650M,0.55,0.0,case_level_alpha_positive_fraction,10b
CREBBP,ProtT5,0.55,0.0,case_level_alpha_positive_fraction,10b
GRIN2A,ESM-1v,0.55,0.0,case_level_alpha_positive_fraction,10b
GRIN2A,ESM2-150M,0.55,0.4761904761904761,case_level_alpha_positive_fraction,10b
GRIN2A,ESM2-650M,0.55,0.0,case_level_alpha_positive_fraction,10b
GRIN2A,ProtT5,0.55,0.0,case_level_alpha_positive_fraction,10b
TSC2,ESM-1v,0.55,0.0476190476190476,case_level_alpha_positive_fraction,10b
TSC2,ESM2-150M,0.55,0.3809523809523809,case_level_alpha_positive_fraction,10b
TSC2,ESM2-650M,0.55,0.238095238095238,case_level_alpha_positive_fraction,10b
TSC2,ProtT5,0.55,1.0,case_level_alpha_positive_fraction,10b
TSC2,ESM-1v,0.55,0.0,case_level_alpha_positive_fraction,10b
TSC2,ESM2-150M,0.55,0.4761904761904761,case_level_alpha_positive_fraction,10b
TSC2,ESM2-650M,0.55,0.5238095238095238,case_level_alpha_positive_fraction,10b
TSC2,ProtT5,0.55,0.0,case_level_alpha_positive_fraction,10b
