gene,auc_esm1v_mean,auc_reference_pair_fixed_055,auc_augmented_pair_fixed_055,delta_augmented_vs_esm1v,best_alpha_on_full_surface,best_alpha_auc,fixed_alpha_in_plateau,plateau_alpha_min,plateau_alpha_max,paired_delta_ci_2p5,paired_delta_ci_97p5
BRCA2,0.6323835125448029,0.7445878136200716,0.6889784946236559,0.05659498207885305,0.9,0.7142652329749104,False,0.75,1.0,0.013139085295604062,0.1063037599856574
MSH2,0.9232531841447447,0.7492262825854065,0.8457028925127961,-0.0775502916319486,0.0,0.9232531841447447,False,0.0,0.25,-0.10785718004471745,-0.04894482775763693
TP53,0.9465838509316771,0.749751552795031,0.9304968944099379,-0.016086956521739193,0.3,0.9525465838509317,False,0.0,0.45,-0.04164773534928658,0.006031411088911139
