gene,n_total,n_positive,n_negative,min_class_count,passes_thresholds,review_status_examples
TTN,2817,1807,1010,1010,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
BRCA2,1581,1013,568,568,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
NEB,1001,385,616,385,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
BRCA1,1108,751,357,357,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
KMT2D,1436,347,1089,347,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
DMD,1026,684,342,342,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
DNAH5,736,328,408,328,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
CHD7,600,284,316,284,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
MSH2,663,390,273,273,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | reviewed by expert panel"
SACS,722,254,468,254,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
NSD1,543,295,248,248,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
DNAH11,1278,221,1057,221,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
COL7A1,653,438,215,215,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
ADGRV1,813,209,604,209,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
ANKRD11,432,201,231,201,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
TSC2,608,409,199,199,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
ALMS1,519,324,195,195,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
PKD1,808,623,185,185,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
CREBBP,391,209,182,182,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
MECP2,381,204,177,177,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
ARID1B,460,174,286,174,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
DYNC1H1,389,147,242,147,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
GRIN2A,321,144,177,144,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
FLG,502,142,360,142,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
GRIN2B,322,183,139,139,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
USH2A,933,799,134,134,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
MUTYH,278,134,144,134,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
COL2A1,682,554,128,128,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
SYNGAP1,273,145,128,128,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
KMT2A,317,191,126,126,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
ZEB2,256,125,131,125,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
DSP,405,281,124,124,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
PTCH1,330,206,124,124,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
PCNT,253,129,124,124,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
ATM,847,727,120,120,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
TP53,254,117,137,117,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | reviewed by expert panel"
COL4A5,872,761,111,111,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
FLNA,340,110,230,110,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
ENG,277,167,110,110,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
MED13L,308,108,200,108,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
CACNA1A,356,249,107,107,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
CDH1,229,123,106,106,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
COL5A1,329,105,224,105,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
SYNE1,264,163,101,101,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
FLNC,257,160,97,97,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
SMARCA2,211,114,97,97,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
KCNB1,222,96,126,96,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
CHD8,205,96,109,96,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
EP300,351,93,258,93,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
NBAS,238,93,145,93,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
KIF1A,220,127,93,93,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
ASPM,216,123,93,93,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
COL1A1,672,581,91,91,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
ATRX,409,91,318,91,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
ATP7A,290,89,201,89,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
L1CAM,235,87,148,87,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
APOB,453,84,369,84,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
NOTCH3,295,211,84,84,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
COL6A3,278,84,194,84,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
DYRK1A,175,84,91,84,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
EHMT1,423,83,340,83,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
FBN2,304,83,221,83,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
PLEC,176,83,93,83,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
RPGR,335,253,82,82,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
LAMA2,296,214,82,82,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
CDKL5,291,209,82,82,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
ABCA12,185,82,103,82,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
IQSEC2,168,82,86,82,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
OTOF,216,135,81,81,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
NEXMIF,181,81,100,81,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
SETD5,180,81,99,81,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
LRP2,159,81,78,78,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
DST,158,78,80,78,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
TSC1,252,175,77,77,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
TRIO,173,77,96,77,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
KAT6A,470,76,394,76,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
FANCA,342,266,76,76,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
FOXG1,222,146,76,76,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
FLNB,234,75,159,75,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
ACAN,152,78,74,74,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
ASXL3,240,73,167,73,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
SATB2,162,89,73,73,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
APC,541,469,72,72,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
COL11A1,260,72,188,72,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
MSH6,460,389,71,71,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
FRAS1,177,106,71,71,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
ABCD1,345,275,70,70,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
CHD2,226,156,70,70,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
COL6A1,184,70,114,70,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
FBN1,1966,1897,69,69,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
KCNT1,159,69,90,69,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
DYSF,342,274,68,68,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
NOTCH1,324,68,256,68,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
MYO15A,322,254,68,68,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
CACNA1C,137,69,68,68,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
GLI3,206,67,139,67,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
PIEZO1,173,67,106,67,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
LAMA3,142,75,67,67,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
COL11A2,188,66,122,66,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
HUWE1,152,66,86,66,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
PALB2,332,267,65,65,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
NIPBL,263,198,65,65,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
FBXO11,139,74,65,65,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
RAD51C,135,70,65,65,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
SOS1,130,65,65,65,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
KMT2C,491,64,427,64,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
COL6A2,159,95,64,64,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
DICER1,239,176,63,63,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | reviewed by expert panel"
TG,172,109,63,63,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
PHIP,139,76,63,63,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
PKHD1,526,465,61,61,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
SPTAN1,177,61,116,61,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
MYO18B,125,64,61,61,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter"
JAG1,198,138,60,60,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
CUBN,147,60,87,60,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
CDK13,177,59,118,59,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
SLC6A1,165,106,59,59,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
DNAH9,146,59,87,59,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
SCN1A,1286,1228,58,58,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
POGZ,121,58,63,58,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
TCF4,149,92,57,57,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
MED12,147,57,90,57,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
RYR1,396,341,55,55,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
CDH23,238,183,55,55,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
RECQL4,169,114,55,55,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
FOXP1,123,68,55,55,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
OTOG,120,55,65,55,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
STXBP1,231,177,54,54,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
BMPR2,226,172,54,54,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
ERCC6,144,90,54,54,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
EPHB4,133,54,79,54,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
DNAH8,116,54,62,54,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
COL4A3,456,403,53,53,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
EYS,369,316,53,53,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
SETBP1,361,53,308,53,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
RYR2,283,230,53,53,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
ARID1A,271,53,218,53,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
RTEL1,134,81,53,53,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
TRPS1,124,71,53,53,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
FANCM,119,66,53,53,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter"
KIF11,110,53,57,53,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
NF1,1181,1129,52,52,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
KDM6A,105,53,52,52,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
KMT2B,402,51,351,51,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
CHD3,133,82,51,51,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
CACNA1S,120,51,69,51,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
SLC6A8,117,66,51,51,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
GABRB2,106,55,51,51,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
RELN,260,50,210,50,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
ASXL1,243,50,193,50,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
AHDC1,230,50,180,50,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
PCDH15,133,83,50,50,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
KIF5A,113,50,63,50,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
COL4A4,398,349,49,49,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
KAT6B,218,49,169,49,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
INF2,179,49,130,49,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
BARD1,174,125,49,49,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter"
POLE,146,97,49,49,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter"
CSF1R,118,49,69,49,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
SLX4,104,55,49,49,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
IDS,446,398,48,48,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
OPA1,170,122,48,48,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
TCOF1,127,48,79,48,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
ZNF469,330,47,283,47,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
EPG5,136,89,47,47,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
IFT140,130,83,47,47,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
PIEZO2,104,57,47,47,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
PHKA2,101,54,47,47,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
TCF20,194,46,148,46,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
KDM5C,135,89,46,46,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
RAI1,391,45,346,45,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
CPLANE1,161,116,45,45,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
SPTA1,139,94,45,45,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
ALPK3,130,85,45,45,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter"
DNAH1,128,45,83,45,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
SHANK3,99,45,54,45,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
WDFY3,95,45,50,45,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
F5,92,47,45,45,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
MPDZ,90,45,45,45,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter"
PMS2,252,208,44,44,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
ADNP,136,44,92,44,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
TET2,90,46,44,44,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
RB1,227,184,43,43,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
MYH9,144,43,101,43,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
ASH1L,129,43,86,43,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
TRIOBP,118,43,75,43,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
FREM2,92,43,49,43,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
DYNC2H1,304,262,42,42,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
ANK2,182,42,140,42,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
MBD5,182,42,140,42,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
GRIN1,139,97,42,42,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
ZBTB20,101,59,42,42,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
TRPM1,91,42,49,42,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
VPS13D,84,42,42,42,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
SETX,241,41,200,41,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
TNXB,237,41,196,41,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
COL12A1,169,41,128,41,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
CPS1,158,117,41,41,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
RET,142,101,41,41,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
HSPG2,124,41,83,41,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
COL4A2,110,41,69,41,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
ITGB4,95,54,41,41,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
COL17A1,91,50,41,41,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
LDLR,945,905,40,40,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
BRIP1,216,176,40,40,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
KDM6B,132,40,92,40,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
RBM20,129,40,89,40,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
EVC,124,84,40,40,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
LAMA1,113,40,73,40,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
USP9X,101,61,40,40,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
HCN1,97,40,57,40,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
OTOGL,84,40,44,40,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
TUBGCP6,83,40,43,40,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
VPS13B,301,262,39,39,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
NPHS1,163,124,39,39,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
IFIH1,149,39,110,39,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
SCN9A,119,80,39,39,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
CAMTA1,99,39,60,39,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
FLT4,82,43,39,39,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
SCN8A,314,276,38,38,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
VWF,263,225,38,38,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
ABCC6,197,159,38,38,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
RUNX1,103,65,38,38,True,"criteria provided, single submitter | reviewed by expert panel"
CACNA1F,99,61,38,38,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
VPS13C,95,38,57,38,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter"
DNM1,90,52,38,38,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
MYO7A,380,343,37,37,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
AUTS2,148,37,111,37,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
KMT2E,148,37,111,37,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
SETD1B,115,37,78,37,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
CCDC88C,99,37,62,37,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter"
MYO5B,83,46,37,37,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
CEP250,81,44,37,37,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter"
BLM,172,136,36,36,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
SPEN,161,36,125,36,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
VPS13A,156,120,36,36,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
SRCAP,119,36,83,36,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
ABCA1,105,36,69,36,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
OCRL,96,60,36,36,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
NOTCH2,85,36,49,36,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
KIAA0586,81,45,36,36,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
SPTBN1,74,36,38,36,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
USH1C,74,36,38,36,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
HNRNPU,134,35,99,35,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
