gene,n_total,n_positive,n_negative,esm1v_scoring_mode,auc_esm1v_mean,auc_reference_pair_fixed_055,auc_augmented_pair_fixed_055,delta_augmented_vs_esm1v,delta_augmented_vs_reference_pair,best_alpha,best_alpha_auc,paired_delta_ci_2p5,paired_delta_ci_97p5,shadow_model_name,auc_augmented_pair_shadow,delta_shadow_vs_esm1v
TP53,255,115,140,full_sequence,0.9465838509316771,0.749751552795031,0.9304968944099379,-0.016086956521739193,0.18074534161490685,0.3,0.9525465838509317,-0.04164773534928658,0.006031411088911139,,nan,nan
BRCA2,658,100,558,local_window,0.6323835125448029,0.7445878136200716,0.6889784946236559,0.05659498207885305,-0.055609318996415746,0.9,0.7142652329749104,0.013139085295604062,0.1063037599856574,,nan,nan
MSH2,395,124,271,full_sequence,0.9232531841447447,0.7492262825854065,0.8457028925127961,-0.0775502916319486,0.0964766099273896,0.0,0.9232531841447447,-0.10785718004471745,-0.04894482775763693,,nan,nan
